Ticker,InvName,B3Name,nosName
BAUH4,Excelsior Alimentos Pref,EXCELSIOR PN,EXCELSIORPN
BDLL4,Bardella Pref,BARDELLA PN,BARDELLAPN
BEES3,Banestes,BANESTES ON,BANESTESON
BEES4,Banestes Pref,BANESTES PN,BANESTESPN
BGIP4,Banese Pref,BANESE PN,BANESEPN
BMEB3,Mercantil do Brasil,MERC BRASIL ON N1,MERCBRASILONN1
BMEB4,Mercantil do Brasil Pref,MERC BRASIL PN N1,MERCBRASILPNN1
BMIN3,Mercantil de Investimentos,MERC INVEST ON,MERCINVESTON
BMIN4,Mercantil de Investimentos Pref,MERC INVEST PN,MERCINVESTPN
BMKS3,Bicicletas Monark,BIC MONARK ON,BICMONARKON
BNBR3,BNB,NORD BRASIL ON,NORDBRASILON
BOBR4,Bombril,BOMBRIL PN,BOMBRILPN
BRIV3,Banco Alfa,ALFA INVEST ON,ALFAINVESTON
BRIV4,Banco Alfa Pref,ALFA INVEST PN,ALFAINVESTPN
BSLI4,BRB Pref,BRB BANCO PN,BRBBANCOPN
BTTL3,Battistella Administracao,BATTISTELLA ON,BATTISTELLAON
CBEE3,Ampla,AMPLA ENERG ON,AMPLAENERGON
CEEB3,Coelba,COELBA ON,COELBAON
CEEB5,Coelba Pref,COELBA PNA,COELBAPNA
CEPE5,Celpe Pref,CELPE PNA,CELPEPNA
CGAS3,Comgas,COMGAS ON,COMGASON
CRIV3,Financeira Alfa ORD,ALFA FINANC ON,ALFAFINANCON
CRPG5,Cristal Pigmentos do Brasil Pref A,CRISTAL PNA,CRISTALPNA
CRPG6,Cristal Pigmentos do Brasil Pref B,CRISTAL PNB,CRISTALPNB
CSRN3,Cosern,COSERN ON,COSERNON
CTKA4,Karsten Pref,KARSTEN PN,KARSTENPN
CTNM3,COTEMINAS,COTEMINAS ON,COTEMINASON
CTSA3,Santanense,SANTANENSE ON,SANTANENSEON
CTSA4,Santanense Pref,SANTANENSE PN,SANTANENSEPN
DOHL4,Dohler Pref,DOHLER PN,DOHLERPN
DTCY3,Dtcom,DTCOM-DIRECTON,DTCOM-DIRECTON
EALT4,Electro Aco Altona Pref,ACO ALTONA PN,ACOALTONAPN
EKTR4,Elektro Pref,ELEKTRO PN,ELEKTROPN
EMAE4,EMAE Pref,EMAE PN,EMAEPN
ENGI3,Energisa ORD,ENERGISA ON N2,ENERGISAONN2
ENMT3,Energisa MT,ENERGISA MT ON,ENERGISAMTON
ESTR4,Brinquedos Estrela,ESTRELA PN,ESTRELAPN
FESA3,Ferbasa,FERBASA ON N1,FERBASAONN1
FNAM11,Fundo de Investimento da Amazonia,FINAM CI *,FINAMCI*
FSRF11,Fdo Inv Setorial FL E Ref Fiset FL Ref,FISET FL REFCI,FISETFLREFCI
GPCP3,GPC Participacoes,GPC PART ON,GPCPARTON
HAGA4,Haga Pref,HAGA S/A PN,HAGAS/APN
HBTS5,Habitasul Pref,HABITASUL PNA,HABITASULPNA
HETA4,Hercules Pref,HERCULES PN,HERCULESPN
HOOT4,Hoteis Othon,HOTEIS OTHONPN,HOTEISOTHONPN
IDVL3,BI&P,INDUSVAL ON,INDUSVALON
JBDU3,Industrias JBDuarte,J B DUARTE ON,JBDUARTEON
JBDU4,Industrias JBDuarte Pref,J B DUARTE PN,JBDUARTEPN
JOPA3,Josapar Joaquim Oliveira,JOSAPAR ON,JOSAPARON
JOPA4,Josapar Joaquim Oliveira Pref,JOSAPAR PN,JOSAPARPN
KLBN3,KLABIN S/A ON N2,KLABIN S/A ON N2,KLABINS/AONN2
MNDL3,Mundial,MUNDIAL ON,MUNDIALON
MNPR3,Minupar Participacoes,MINUPAR ON,MINUPARON
MTSA4,METISA Pref,METISA PN,METISAPN
MWET4,Wetzel Pref,WETZEL S/A PN,WETZELS/APN
PEAB4,Alianca da Bahia Pref,PAR AL BAHIAPN,PARALBAHIAPN
PNVL3,Dimed,DIMED ON,DIMEDON
PNVL4,Dimed Pref,DIMED PN,DIMEDPN
RANI3,Celulose Irani,IRANI ON NM,IRANIONNM
RCSL3,Recrusul,RECRUSUL ON,RECRUSULON
RCSL4,Recrusul Pref,RECRUSUL PN,RECRUSULPN
REDE3,Rede Energia,REDE ENERGIAON,REDEENERGIAON
RPAD5,Alfa Holdings Pref A,ALFA HOLDINGPNA,ALFAHOLDINGPNA
RPAD6,Alfa Holdings Pref B,ALFA HOLDINGPNB,ALFAHOLDINGPNB
WLMM3,WLM Industria e Comercio,WLM IND COM ON,WLMINDCOMON
WLMM4,WLM Industria e Comercio,WLM IND COM PN,WLMINDCOMPN
SLED3,Saraiva,SARAIVA LIVRON N2,SARAIVALIVRONN2
SOND5,Sondotecnica Pref A,SONDOTECNICAPNA,SONDOTECNICAPNA
SOND6,Sondotecnica Pref B,SONDOTECNICAPNB,SONDOTECNICAPNB
TCNO4,Tecnosolo Pref,TECNOSOLO PN,TECNOSOLOPN
TELB3,Telebras,TELEBRAS ON,TELEBRASON
TRPL3,CTEEP,TRAN PAULISTON N1,TRANPAULISTONN1
UNIP5,Unipar Carbocloro Pref,UNIPAR PNA,UNIPARPNA
USIM6,USIMINAS PNB,USIMINAS PNB N1,USIMINASPNBN1
VULC3,Vulcabras Azaleia,VULCABRAS ON NM,VULCABRASONNM
VVAR3,Via Varejo,VIAVAREJO ON NM,VIAVAREJOONNM
WHRL4,Whirlpool Pref,WHIRLPOOL PN,WHIRLPOOLPN
ALMI11,FII Torre Almirante,FII TORRE ALCI,FIITORREALCI
ANCR11B,FII Ancar IC,FD INV IM ANCAR IC,FDINVIMANCARIC
BBFI11B,Progressivo,BB FDO DE INVST I,BBFDODEINVSTI
BCFF11,BB Renda Corporativa,FII BC FFII CI,FIIBCFFIICI
CEOC11,FII Ceo Cyrela Commercial,FII CEO CCP CI,FIICEOCCPCI
CNES11,FII Cenesp,FII CENESP CI,FIICENESPCI
MRSA6BF,MRS Logistica B,MRS LOGISTICA,MRSLOGISTICA
CXCE11B,FII CAIXA CEDAE,FD INV IMOB CAIXA,FDINVIMOBCAIXA
DRIT11B,Multigestao Renda Comercial,MULTIGESTAO RENDA,MULTIGESTAORENDA
EDFO11B,Edificio Ourinvest,FD INV IMOB ED OUR,FDINVIMOBEDOUR
EDGA11,FII Edificio Galeria,FII GALERIA CI,FIIGALERIACI
FAED11,FII Anhanguera Educacional,FII ANH EDUCCI,FIIANHEDUCCI
FAMB11B,FII Edificio Almirante Barroso,FD INV IM ALM BARR,FDINVIMALMBARR
FCFL11,Campus Faria Lima FII,FII CAMPUSFLCI,FIICAMPUSFLCI
FEXC11,FII Excellence,FII EXCELLENCI,FIIEXCELLENCI
FIIP11B,RB Capital,RB CAP RENDA I FD,RBCAPRENDAIFD
FLRP11,Floripa Shopping FII,FII FLORIPA CI,FIIFLORIPACI
HCRI11,FII Hospital da Crianca,FII CRIANCA CI,FIICRIANCACI
HTMX11,FII Hotel Maxinvest,FII HOTEL MXCI,FIIHOTELMXCI
JRDM11,FII BM Jardim Sul,FII SHOPJSULCI,FIISHOPJSULCI
MAXR11,Max Retail FII,FII MAX RET CI,FIIMAXRETCI
NSLU11,FII Nossa Senhora De Lourdes,FII LOURDES CI,FIILOURDESCI
TRNT11,FII Torre Norte,FII TORRE NOCI,FIITORRENOCI
ARNC34,Arconic BDR,HOWMET AERO DRN,HOWMETAERODRN
ABBV34,AbbVie DRC,ABBVIE DRN,ABBVIEDRN
BBYY34,Best Buy,BEST BUY DRN,BESTBUYDRN
BCRI11,Banestes Recebiveis FII,FII BEES CRICI,FIIBEESCRICI
BIIB34,Biogen DRC,BIOGEN DRN,BIOGENDRN
BLAK34,BlackRock DRC,BLACKROCK DRN,BLACKROCKDRN
COWC34,Costco Wholesale DRC,COSTCO DRN,COSTCODRN
CTSH34,Cognizant Tech DRC,COGNIZANT DRN,COGNIZANTDRN
CVSH34,CVS Health DRC,CVS HEALTH DRN,CVSHEALTHDRN
CXRI11,FII Caixa Rio Bravo,FII CX RBRAVCI,FIICXRBRAVCI
DEAI34,Delta Air Lines,DELTA DRN,DELTADRN
FSLR34,First Solar Inc,FIRST SOLAR DRN,FIRSTSOLARDRN
GILD34,Gilead Sciences DRC,GILEAD DRN,GILEADDRN
GOGL34,Alphabet A BDR,ALPHABET DRN A,ALPHABETDRNA
GOGL35,Alphabet C BDR,ALPHABET DRN C,ALPHABETDRNC
GPSI34,Gap,GAP DRN,GAPDRN
MACY34,Macy’s,MACY S DRN,MACYSDRN
MDTC34,Medtronic DRC,MEDTRONIC DRN,MEDTRONICDRN
RIGG34,Transocean,TRANSOCEAN DRN,TRANSOCEANDRN
ROST34,Ross Stores DRC,ROSS STORES DRN,ROSSSTORESDRN
SCHW34,Charles Schwab,SCHWAB DRN,SCHWABDRN
SSFO34,Salesforce.com DRC,SALESFORCE DRN,SALESFORCEDRN
TMOS34,Thermo Fisher Scientific,THERMFISCHERDRN,THERMFISCHERDRN
TRVC34,Travelers Companies DRC,TRAVELERS DRN,TRAVELERSDRN
USSX34,United States Steel,US STEEL DRN,USSTEELDRN
VLOE34,Valero Energy DRC,VALERO ENER DRN,VALEROENERDRN
WSON33,Wilson Sons,WILSON SONS DR3,WILSONSONSDR3
AALR3,Centro de Imagem Diagnosticos,ALLIAR ON NM,ALLIARONNM
AFLT3,Afluente Transmissao de Energia,AFLUENTE T ON,AFLUENTETON
BGIP3,Banco do Estado de Sergipe,BANESE ON,BANESEON
BNFS11,FII Banrisul Novas Fronteiras,FII BANRISULCI,FIIBANRISULCI
CBOP11,FII Castello Branco Office,FII C BRANCOCI,FIICBRANCOCI
CEBR3,CEB,CEB ON,CEBON
CEDO3,Cedro Cachoeira,CEDRO ON N1,CEDROONN1
ESUD11,FIP Infra-Estr BB Votorantim Ener Sustentavel II A,FIP IE II CI,FIPIEIICI
ESUT11,FIP Infra-Estr BB Votorantim Ener Sustentavel III,FIP IE III CI,FIPIEIIICI
FIIB11,FII Industrial do Brasil,FII INDL BR CI,FIIINDLBRCI
FIVN11,FII Vida Nova,FII VIDANOVACI,FIIVIDANOVACI
FMOF11,FII Memorial Office,FII MEMORIALCI,FIIMEMORIALCI
FNOR11,FINOR,FINOR CI *,FINORCI*
FSPE11,FI Setoriais Fiset Pesca,FISET PESCA CI,FISETPESCACI
FSTU11,Fuente Internacional de Servicios para Turistas,FISET TUR CI,FISETTURCI
GPAR3,Celgpar,CELGPAR ON,CELGPARON
GRLV11,CSHG GR Louveira FII,FII LOUVEIRACI,FIILOUVEIRACI
MAPT3,Cemepe Investimentos,CEMEPE ON,CEMEPEON
MMXM11,MMX Mineracao e Metalicos,MMX MINER TPR NM,MMXMINERTPRNM
PABY11,FII Panamby,FII PANAMBY CI,FIIPANAMBYCI
PATI4,Panatlantica,PANATLANTICAPN,PANATLANTICAPN
PLRI11,Polo FII Recebiveis Imobiliarios I,FII POLO I CI,FIIPOLOICI
PORD11,Polo FII Recebiveis Imobiliarios II,FII POLO CRICI,FIIPOLOCRICI
RBDS11,FII RB Capital Desenvolvimento Residencial II,FII RBRESID2CI,FIIRBRESID2CI
RPAD3,Alfa Holdings,ALFA HOLDINGON,ALFAHOLDINGON
SCPF11,SCP FII,FII SCP CI,FIISCPCI
VSPT3,Ferrovia Centro Atlantica,FER C ATLANTON,FERCATLANTON
XPOM11,FIP XP Omega I,FIP XP OMEGACI,FIPXPOMEGACI
AIGB34,AIG BDR,AIG GROUP DRN,AIGGROUPDRN
DUKB34,Duke Energy,DUKE ENERGY DRN,DUKEENERGYDRN
MOVI3,Movida Participacoes,MOVIDA ON NM,MOVIDAONNM
PARD3,Instituto Hermes Pardini,IHPARDINI ON NM,IHPARDINIONNM
BPAC11,Banco BTG,BTGP BANCO UNT N2,BTGPBANCOUNTN2
PPLA11,BTG Pactual Unit,PPLA UNT,PPLAUNT
AALL34,American Airlines DRC,AMERICAN AIRDRN,AMERICANAIRDRN
GMCO34,General Motors,GENERAL MOT DRN,GENERALMOTDRN
LBRN34,L Brands DRC,L BRANDS DRN,LBRANDSDRN
TWTR34,Twitter,TWITTER DRN,TWITTERDRN
UPAC34,Union Pacific,UNIONPACIFICDRN,UNIONPACIFICDRN
RNEW3,Renova Energia,RENOVA ON N2,RENOVAONN2
RNEW4,Renova Energia Pref,RENOVA PN N2,RENOVAPNN2
AZUL4,Azul SA Pref,AZUL PN N2,AZULPNN2
KNIP11,Kinea Private Equity,FII KINEA IPCI,FIIKINEAIPCI
TEND3,Tenda,TENDA ON NM,TENDAONNM
TSLA34,Tesla Motors DRC,TESLA INC DRN,TESLAINCDRN
CRFB3,Atacadao,CARREFOUR BRON NM,CARREFOURBRONNM
OMGE3,Omega Geracao,OMEGA GER ON NM,OMEGAGERONNM
IRBR3,IRB Brasil Resseguros,IRBBRASIL REON NM,IRBBRASILREONNM
GGRC11,GGR Covepi Renda FII,FII GGRCOVEPCI,FIIGGRCOVEPCI
GEPA3,Rio Paranapanema Energia,GER PARANAP ON,GERPARANAPON
SAPR3,SANEPAR ON N2,SANEPAR ON N2,SANEPARONN2
CAML3,Camil Alimentos,CAMIL ON NM,CAMILONNM
VISC11,Vinci Shopping Centers FII,FII VINCI SCCI,FIIVINCISCCI
SUZB3,Suzano Papel Celulose,SUZANO S.A. ON NM,SUZANOS.A.ONNM
SAPR11,Parana Sanepar Unit,SANEPAR UNT N2,SANEPARUNTN2
BRDT3,Petrobras Distribuidora,PETROBRAS BRON NM,PETROBRASBRONNM
NEOE3,NEOENERGIA,NEOENERGIA ON NM,NEOENERGIAONNM
BKBR3,BK BRASIL OPERACAO,BK BRASIL ON NM,BKBRASILONNM
FMXB34,Fomento Economico Mexicano DRC,FEMSA DRN,FEMSADRN
HONB34,Honeywell DRC,HONEYWELL DRN,HONEYWELLDRN
ALZR11,Alianza Trust Renda Imobiliaria,FII ALIANZA CI,FIIALIANZACI
DDNB34,DuPont Nemours,DUPONT N INCDRN,DUPONTNINCDRN
UBSG34,UBS BDR,UBS GROUP DRN,UBSGROUPDRN
TXRX4,Textil Renauxview Pref,TEX RENAUX PN,TEXRENAUXPN
OUJP11,Ourinvest JPP FII,FII OURI JPPCI,FIIOURIJPPCI
BCIA11,Bradesco Carteira Ativa FII,FII BCIA CI,FIIBCIACI
BOXP34,Boston Properties DRC,BOSTON PROP DRN,BOSTONPROPDRN
GPRO34,GoPro BDR,GOPRO DRN,GOPRODRN
MSPA3,Companhia Melhoramentos,MELHOR SP ON,MELHORSPON
HFOF11,Hedge Top Fofii 3 FII,FII HTOPFOF3CI,FIIHTOPFOF3CI
RBRF11,FII RBR ALPHA Fundo,FII RBRALPHACI,FIIRBRALPHACI
HAPV3,Hapvida,HAPVIDA ON NM,HAPVIDAONNM
GNDI3,Notre Dame,INTERMEDICA ON NM,INTERMEDICAONNM
BIDI4,Banco Inter PN,BANCO INTER PN N2,BANCOINTERPNN2
JPSA3,Jereissati Participacoes,JEREISSATI ON,JEREISSATION
GPIV33,GP Invest DRC A,GP INVEST DR3,GPINVESTDR3
IRDM11,IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,FII IRIDIUM CI,FIIIRIDIUMCI
THRA11,FII CYRELA THERA CORPORATE,FII BM THERACI,FIIBMTHERACI
TAEE4,TAEE Pref,TAESA PN N2,TAESAPNN2
XPLG11,XP LOG FII,FII XP LOG CI,FIIXPLOGCI
RBRR11,FII RBR Rendimento High Grade,FII RBRHGRADCI,FIIRBRHGRADCI
WPLZ11,Fundo Inves,FII W PLAZA CI,FIIWPLAZACI
MGFF11,FII Mogno Fundo De Fundos,FII MOGNO CI,FIIMOGNOCI
TGAR11,FII TG Ativo Real,FII TG ATIVOCI,FIITGATIVOCI
HGRU11,CSHG RENDA URBANA FII,FII CSHG URBCI,FIICSHGURBCI
ALUP3,Alupar Invest,ALUPAR ON N2,ALUPARONN2
ALUP4,Alupar Invest Pref,ALUPAR PN N2,ALUPARPNN2
LOGG3,Log Commercial Properties,LOG COM PROPON NM,LOGCOMPROPONNM
KNHY11,KINEA HIGH YIELD CRI FII,FII KINEA HYCI,FIIKINEAHYCI
OUCY11,OURINVESTY CYRELA FII,FII OURICYRECI,FIIOURICYRECI
FVPQ11,FII VIA PARQUE SHOPPING,FII V PARQUECI,FIIVPARQUECI
CARE11,Brazilian Graveyard and Death Care Services FII,FII DEA CARECI,FIIDEACARECI
TAEE3,TAEE 3,TAESA ON N2,TAESAONN2
XPIN11,FII XP Industrial,FII XP INDL CI,FIIXPINDLCI
VSHO11,FI Imobiliario Votorantim Shopping,FII VOT SHOPCI,FIIVOTSHOPCI
AZEV3,Azevedo Travassos,AZEVEDO ON,AZEVEDOON
AHEB3,Sao Paulo Turismo,SPTURIS ON,SPTURISON
BALM3,Baumer,BAUMER ON,BAUMERON
BPAC3,Banco BTG Pactual,BTGP BANCO ON N2,BTGPBANCOONN2
EALT3,Electro Aco Altona,ACO ALTONA ON,ACOALTONAON
ECPR3,Encorpar,ENCORPAR ON,ENCORPARON
HAGA3,Haga Industria Comercio,HAGA S/A ON,HAGAS/AON
LIPR3,Eletrobras Eletropar,ELETROPAR ON,ELETROPARON
PATI3,Panatlantica,PANATLANTICAON,PANATLANTICAON
PEAB3,Alianca Bahia,PAR AL BAHIAON,PARALBAHIAON
SULA3,Sul America Pref,SUL AMERICA ON N2,SULAMERICAONN2
BPAC5,Banco BTG Pactual Pref,BTGP BANCO PNA N2,BTGPBANCOPNAN2
BRGE11,Alfa Administracao Pref E,ALFA CONSORCPNE,ALFACONSORCPNE
BRGE12,Alfa Administracao Pref F,ALFA CONSORCPNF,ALFACONSORCPNF
BRGE6,Alfa Administracao Pref,ALFA CONSORCPNB,ALFACONSORCPNB
CORR4,Correa Ribeiro,COR RIBEIRO PN,CORRIBEIROPN
EEEL4,Estadual Geracao Transmissao,CEEE-GT PN N1,CEEE-GTPNN1
ENMT4,Energisa Mato Grosso,ENERGISA MT PN,ENERGISAMTPN
LUXM4,Trevisa Invest,TREVISA PN,TREVISAPN
MERC4,Mercantil Brasil Financeira,MERC FINANC PN,MERCFINANCPN
RSUL4,Metalurgica Riosulense,RIOSULENSE PN,RIOSULENSEPN
SULA4,Sul America,SUL AMERICA PN N2,SULAMERICAPNN2
PATC11,PATRIA EDIFICIOS CORPORATIVOS FII,FII PATRIA CI,FIIPATRIACI
BBDC3,BRADESCO ON,BRADESCO ON N1,BRADESCOONN1
VGIR11,VALORA RE III FII,FII VALREIIICI,FIIVALREIIICI
VILG11,VINCI LOGISTICA FII,FII VINCILOGCI,FIIVINCILOGCI
CNTO3,Grupo SBF,CENTAURO ON NM,CENTAUROONNM
BTCR11,FII BTG PACTUAL CREDITO IMOBILIARIO,FII BTG CRI CI,FIIBTGCRICI
MELI34,Mercadolibre BDR,MERCADOLIBREDRN,MERCADOLIBREDRN
MOAR3,Monteiro Aranha,MONT ARANHA ON,MONTARANHAON
RBVA11,FII Rio Bravo Rendo Varejo,FII RIOB VA CI,FIIRIOBVACI
MRSA3B,MRS Logistica,MRS LOGISTICA,MRSLOGISTICA
VTLT11,FI Imobiliario Votorantim Logistica,FII VOT LOG CI,FIIVOTLOGCI
GTWR11,FII Green Towers,FII G TOWERSCI,FIIGTOWERSCI
BIDI11,Banco Inter Unit,BANCO INTER UNT N2,BANCOINTERUNTN2
BIDI3,Banco Inter ON,BANCO INTER ON N2,BANCOINTERONN2
DMAC11,MAC Fundo de Investimento Imobiliario,FII MAC CI,FIIMACCI
HCTR11,Hectare Ce Fdo Inv Imob,FII HECTARE CI,FIIHECTARECI
HSML11,HSI Malls FII,FII HSI MALLCI,FIIHSIMALLCI
XPHT11,XP HOTEIS FDO INV IMOB,FII XP HOT CI,FIIXPHOTCI
XPHT12,XP HOTEIS FII,FII XP HOT CI,FIIXPHOTCI
HABT11,FII HABIT II,FII HABIT IICI,FIIHABITIICI
RECT11,FII UBS (BR) OFFICE,FII REC RENDCI,FIIRECRENDCI
AQLL11,Áquilla,FII AQUILLA CI,FIIAQUILLACI
ARFI11B,Áquilla Renda,AQ3 RENDA FD DE IN,AQ3RENDAFDDEIN
ATCR11,HAZ,FII HAZ CI,FIIHAZCI
BARI11,Barigui Rendimento Imobiliários I,FII BARIGUI CI,FIIBARIGUICI
BBIM11,BB Recebiveis Imobiliários,FII BB RECIMCI,FIIBBRECIMCI
BMII11,Brasilio Machado,FII BRASILIOCI,FIIBRASILIOCI
BPRP11,FII BRLPROP,FII BRLPROP CI,FIIBRLPROPCI
BRHT11B,BR Hotéis,FII BR HOTEIS,FIIBRHOTEIS
BVAR11,Brasil Varejo,FII B VAREJOCI,FIIBVAREJOCI
DAMT11B,Diamante,DIAMANTE FUNDO INV,DIAMANTEFUNDOINV
DOVL11B,DOVEL,DOVEL FD DE INVST,DOVELFDDEINVST
ELDO11B,Eldorado,ELDORADO FD INV IM,ELDORADOFDINVIM
ERPA11,Europa 105,FII EUROPA CI,FIIEUROPACI
FINF11,Infra Real State,FII INFRA RECI,FIIINFRARECI
FISC11,SC 401,FII SC 401 CI,FIISC401CI
FISD11,São Domingos,FII DOMINGOSCI,FIIDOMINGOSCI
FPNG11,Pedra Negra Renda Imobiliária,FII P NEGRA CI,FIIPNEGRACI
FTCE11B,Opportunity,OPPORTUNITY FD IMB,OPPORTUNITYFDIMB
GESE11B,General Severiano,FD DE INV IMOB GEN,FDDEINVIMOBGEN
HGFF11,CSHG Imobiliário FOF,FII CSHG FOFCI,FIICSHGFOFCI
HUSC11,Hospital Unimed Sul Capixaba,FII H UNIMEDCI,FIIHUNIMEDCI
JPPC11,JPP Capital,FII JPP CAPICI,FIIJPPCAPICI
KINP11,Even Permuta Kinea,FII EV KINEACI,FIIEVKINEACI
LATR11B,Lateres,LATERES FD INV IMB,LATERESFDINVIMB
NCHB11,NCH Brasil Recebíveis Imobiliários,FII NCH BRA CI,FIINCHBRACI
NPAR11,Nestpar,FII NESTPAR CI,FIINESTPARCI
NVHO11,Novo Horizonte,FII NOVOHORICI ER,FIINOVOHORICIER
NVIF11B,Nova I,NOVA I FDO INV IMB,NOVAIFDOINVIMB
ORPD11,Ouro Preto Desenvolvimento Imobiliário I,FII OURO PRTCI,FIIOUROPRTCI
PBLV11,Prologis Brazil Logistics Venture,FII PROLOGISCI,FIIPROLOGISCI
PRSN11B,Personale I,PERSONALE I FUNDO,PERSONALEIFUNDO
PRTS11,Multi Properties,FII MULTPROPCI,FIIMULTPROPCI
RBCO11,RB Capital Office Income,FII R INCOMECI,FIIRINCOMECI
RBFF11,Rio Bravo IFIX,FII RIOB FF CI,FIIRIOBFFCI
RBRP11,RBR Properties,FII RBR PROPCI,FIIRBRPROPCI
RBRY11,RBR Private Crédito Imobiliário,FII RBR PCRICI,FIIRBRPCRICI
RCFA11,Grupo RCFA,FII GP RCFA CI,FIIGPRCFACI
RCRI11B,RB Capital Rendimentos,RB CAP RENDI IMOB,RBCAPRENDIIMOB
RDPD11,BB Renda de Papeis Imobiliários II,FII BB PAPIICI,FIIBBPAPIICI
REIT11,Socopa Fundo de Investimento Imobiliário,FII REIT RIVCI,FIIREITRIVCI
SADI11,Santander Papeis Imobiliários CDI,FII SANT PAPCI,FIISANTPAPCI
SAIC11B,Sia Corporate,FUNDO INVEST IMOB,FUNDOINVESTIMOB
SFND11,São Fernando,FII SAO FER CI,FIISAOFERCI
SHDP11B,Shopping Parque Dom Pedro,FII SHOP PARQUE DP,FIISHOPPARQUEDP
SHOP11,Multi Shoppings,FII MULTSHOPCI,FIIMULTSHOPCI
SPAF11,SPA Fundo de Investimento Imobiliário,FII SPA CI,FIISPACI
STRX11,STARX FII,FII STARX CI ES,FIISTARXCIES
TORM13,Tourmalet I,FII TOURMALECI,FIITOURMALECI
TOUR11,Tourmalet II,FII TOUR II CI,FIITOURIICI
TSNC11,Transinc,FII TRANSINCCI,FIITRANSINCCI
VERE11,Vereda,FII VEREDA CI,FIIVEREDACI
VLJS11,Vector Queluz Lajes Corporativas,FII VQ LAJESCI,FIIVQLAJESCI
VPSI11,Polo Shopping Indaiatuba,FII POLO SHOCI,FIIPOLOSHOCI
WTSP11B,Ourinvest RE I,FII OURINVEST RE I,FIIOURINVESTREI
VIVA3,Vivara,VIVARA S.A. ON NM,VIVARAS.A.ONNM
CEAB3,C A Modas SA,CEA MODAS ON NM,CEAMODASONNM
BMGB4,Banco BMG ON,BANCO BMG PN N1,BANCOBMGPNN1
RBCO11,Rb Cap,FII R INCOMECI,FIIRINCOMECI
IBFF11,Integral Brei Reit,FII FOF BREICI,FIIFOFBREICI
CVBI11,Vbi Cri,FII VBI CRI CI,FIIVBICRICI
HRDF11,Hedge Realty,FII HREALTY CI,FIIHREALTYCI
RSPD11,Rb Cap,FII RBRESID3CI,FIIRBRESID3CI
TCPF11,Treecorp,FII TREECORPCI,FIITREECORPCI
